MinMemoryReq,233308.5701376296
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1001.5174506828528,5415462.0,27902.363127775752,5967969.0,335,337
2003.0349013657055,7935881.0,41044.01312777578,8534726.0,487,492
3004.5523520485585,10610519.0,44885.6949459576,11270471.0,611,650
4006.069802731411,13054901.0,50269.19268114909,13761168.0,743,804
5007.5872534142645,15569538.0,61459.23553829199,16322404.0,900,961
6009.104704097117,18343254.0,73570.48357750765,19157167.0,1059,1120
7010.622154779969,20852721.0,83095.40691084097,21712929.0,1213,1274
8012.139605462822,23346277.0,92361.81448659854,24253073.0,1368,1429
9013.657056145676,26104664.0,102797.04781993187,27072312.0,1526,1587
10015.174506828529,28720923.0,112620.14781993188,29736897.0,1687,1748
11016.69195751138,31228792.0,122192.28670882077,32291276.0,1842,1903
12018.209408194234,34062114.0,131272.52004215406,35188164.0,2000,2061
13019.726858877088,36570852.0,140054.20337548744,37743642.0,2154,2216
14021.244309559937,39054845.0,148295.45337548747,40273973.0,2306,2371
15022.761760242793,41808446.0,156638.8462326304,43092890.0,2467,2534
16024.279210925644,44303841.0,164883.59623263043,45634617.0,2619,2688
17025.7966616085,46796215.0,172970.8295659638,48173340.0,2773,2844
18027.31411229135,49524209.0,181292.91679540105,50962608.0,2930,3002
19028.8315629742,51987182.0,189374.3322499465,53471686.0,3081,3155
20030.349013657058,54750190.0,198540.11558327987,56290417.0,3245,3321
21031.86646433991,57330970.0,206468.19891661324,58926014.0,3398,3477
22033.38391502276,59410708.0,206275.68502772436,61052078.0,3531,3632
23034.901365705613,61274450.0,202720.76836105768,62968650.0,3641,3790
24036.41881638847,63201590.0,198598.6850277243,64953327.0,3751,3947
25037.93626707132,65006404.0,197518.60169439102,66804864.0,3869,4103
26039.453717754175,67088624.0,195897.68502772448,68939445.0,3994,4258
27040.971168437027,68955768.0,194017.8154625071,70861222.0,4106,4414
28042.488619119875,70944860.0,192117.78768472938,72897298.0,4236,4572
29044.006069802734,72937394.0,189829.70435139607,74941986.0,4355,4726
30045.523520485585,75059202.0,189166.01465517274,77171257.0,4483,4909
31047.040971168437,76738316.0,183961.9313218394,78896513.0,4587,5062
32048.55842185129,78686140.0,182365.35989326806,80896695.0,4702,5218
33050.075872534144,80448239.0,178838.58608374433,82714206.0,4807,5376
34051.593323217,82284203.0,176265.00275041102,84596318.0,4925,5530
35053.11077389985,84416898.0,176141.3860837445,86781831.0,5056,5689
36054.6282245827,86356822.0,173582.2694170778,88779263.0,5169,5844
37056.14567526556,88317722.0,172455.60275041114,90786535.0,5294,6000
38057.6631259484,90348802.0,170706.68608374457,92870178.0,5416,6155
39059.18057663126,92257237.0,168183.93608374454,94833637.0,5529,6314
40060.698027314116,94298756.0,165828.0527504112,96930856.0,5653,6479
41062.215477996964,96173262.0,163404.77894088748,98851504.0,5771,6632
42063.73292867982,98076944.0,161980.10077996802,100810043.0,5888,6790
43065.25037936267,99944385.0,159163.68411330134,102730049.0,5996,6944
44066.76783004552,102070429.0,161607.7674466347,104902589.0,6129,7100
45068.285280728385,104492616.0,165631.51744663485,107384276.0,6278,7264
46069.802731411226,106509561.0,165681.40077996821,109453392.0,6399,7418
47071.32018209408,108590217.0,167620.7341133016,111580397.0,6531,7573
48072.83763277694,110490724.0,166120.48411330156,113538852.0,6640,7730
