MinMemoryReq,205711.7992296978
time,coldStartTime,memorySize,excutingTime,nColdStart,nExcution
1009.946442234124,3619377.0,13311.56173568004,4265481.0,154,156
2019.892884468248,4322162.0,19198.03197377528,4987334.0,187,193
3029.8393267023716,5163008.0,25108.83554520385,5853260.0,221,230
4039.785768936496,5865793.0,30995.305783299085,6575118.0,254,268
5049.732211170619,6570253.0,36890.80578329909,7298610.0,287,305
6059.678653404743,7417358.0,42917.466497584806,8165302.0,322,343
7069.625095638868,8118526.0,45196.62588125669,8885543.0,357,381
8079.571537872992,8810549.0,51155.596119351925,9596532.0,393,417
9089.517980107115,9620360.0,56644.02667490749,10431330.0,430,454
10099.464422341238,10357379.0,62442.753659034475,11187838.0,468,492
11109.410864575364,11014035.0,67854.46199236781,11845753.0,504,528
12119.357306809487,11912935.0,73783.45603998686,12782037.0,543,567
13125.0,12599432.0,79371.92429395512,13487806.0,581,605
14139.250191277735,13321913.0,85504.16437332019,14229303.0,619,643
15149.19663351186,14173481.0,91332.03937332019,15107771.0,660,684
16153.846153846152,14807735.0,96875.2143733202,15743261.0,694,718
17169.089517980105,15648599.0,102377.93262728845,16609173.0,732,756
18179.03596021423,16378674.0,108278.02984951067,17370513.0,770,794
19188.982402448357,17082820.0,114026.97151617733,18093710.0,806,830
20198.928844682476,18448827.0,119624.06318284398,19493769.0,847,872
21208.875286916602,18823565.0,118020.72984951065,19869766.0,869,908
22218.821729150728,19267516.0,116525.57508760589,20332682.0,893,944
23228.76817138485,19788549.0,113865.93818284398,20878740.0,915,982
24238.714613618973,20145112.0,110222.92032570112,21266658.0,932,1020
25248.6610558531,20494484.0,106677.0869923678,21635157.0,953,1059
26250.0,20901648.0,102865.37832325914,22049571.0,970,1094
27268.553940321348,21126242.0,99447.24340262421,22293359.0,984,1131
28278.50038255547,21570238.0,96497.61840262421,22756428.0,1009,1169
29288.446824789597,22069093.0,94414.18784706865,23280275.0,1029,1205
30298.39326702372,22725411.0,92098.85848198929,23978448.0,1064,1259
31304.347826086956,22824167.0,84581.07356135437,24096237.0,1069,1294
32307.692307692305,23311420.0,81579.06165659246,24590703.0,1090,1330
33328.23259372609,23692351.0,78939.05332325913,24990651.0,1110,1366
34338.17903596021,24195157.0,75383.11086294166,25518556.0,1132,1405
35348.12547819434,24496893.0,71551.9164184972,25839382.0,1150,1443
36352.94117647059,24867744.0,67542.8045137353,26241495.0,1168,1479
37368.01836266258,25336981.0,65368.34618040197,26717945.0,1188,1515
38377.964804896714,25623265.0,61425.26284706863,27023283.0,1204,1552
39387.91124713083,25986323.0,57004.73308516387,27405636.0,1226,1592
40397.85768936495,27003250.0,54022.2295137353,28456523.0,1248,1632
41407.804131599085,27547642.0,54797.20570421149,29019983.0,1277,1669
42417.750573833204,28059621.0,55520.58070421149,29545525.0,1305,1707
43427.69701606733,28842050.0,58189.052404295035,30353036.0,1340,1745
44437.643458301456,29277885.0,59690.60795985059,30807814.0,1364,1780
45447.589900535575,29741410.0,60933.26272175535,31292223.0,1391,1820
46457.5363427697,30447218.0,62836.49605508868,32023133.0,1423,1859
47467.48278500383,31020352.0,65899.70240429504,32597506.0,1454,1894
48477.429227237946,31518776.0,65979.42462651724,33127302.0,1480,1933
49487.179487179485,32198085.0,68208.03772175533,33831620.0,1510,1970
50497.3221117062,32792169.0,70604.804388422,34445159.0,1541,2008
51507.26855394032,33597030.0,74980.71907096168,35275031.0,1578,2046
52517.21499617444,34085267.0,75755.62938842199,35782542.0,1605,2084
53527.16143840857,34511591.0,77356.34962651723,36210088.0,1630,2119
